,Name,Description,Industry,Keywords,Founded,Locations,Disclosed Funding,Next Round Estimate,Probability Score,Valuation Estimate
11,Agolo,"Agolo is the world’s most advanced summarization software. Connect to news, documents, cloud storage to create summaries in real-time.",big data & ai,"financial news, generator, internet, natural language processing, news and media...",2012,United States,$3.50m,Q2 2018,36%,$23.33m
12,Agrilyst,Agrilyst is the intelligence platform for indoor farms.,,farming/agriculture,2015,United States,$2.50m,Q2 2019,,$10.00m
13,Aha!,"Aha! is the world's #1 product roadmap software. That's why the top technology and Web companies and over 30,000 of their employees all trust Aha!",software development,"aha labs inc, ahalabs, business model canvas, business model planning, computer software...",2013,United States,$5.00m,Q3 2018,60%,$33.33m
14,Aiqudo,Voice to Action!,information technology,technology company,2017,United States,$5.20m,Q4 2018,76%,$34.67m
15,AirPR,PR measurement and reporting software.,big data & ai,"computer software, internet/software, measuring pr, pr analytics, transportation and logistics...",2011,United States,$10.00m,Q3 2018,57%,$33.33m
16,Airside Mobile,B4YOUBOARD delivers meals to your gate at the airport!  http://itunes.apple.com/us/app/b4-you-board/id433951842?mt=8,mobile platforms,"telecommunications, travel/leisure",2009,United States,$6.00m,Q4 2018,27%,$40.00m
17,Airway Therapeutics,"Airway Therapeutics is in the early phases of developing AT-100 (rhSP-D), a product targeting Bronchopulmonary Dysplasia in neonates.",,business and industry,2011,United States,$10.90m,Q4 2018,59%,$42.00m
18,Akeso Biomedical,"Akeso Biomedical, Inc.is developing a new generation of compounds, known as Fe3C, with broad-spectrum activity to fight bacterial infections, and prevent foodborne illnesses.",medicine,"akeso, akeso biomedical, anti-bacterial, anti-bacterial compounds, bacterial infections...",2014,United States,$4.40m,Q3 2018,74%,$29.33m
19,Alafair Biosciences,Alafair Biosciences creates products that solve the post surgical tissue adhesion problem.,science,"abdominal, abdominal surgery, adhesion, adhesion barrier, anti-adhesion barrier...",2011,United States,$2.52m,Q3 2018,71%,$13.33m
20,Alegion,Bringing Crowdsourcing to the Enterprise,business and industry,"business and industry, information technology and services, internet/software",2011,United States,$3.60m,Q4 2018,63%,$24.00m
21,Align Today,Align is supported by Radolo Technologies.,,business service,2012,United States,$2.17m,Q2 2019,,$14.50m
22,Alitheon,Alitheon's technologies are aimed at teaching computers to recognize and perceive the world around them,information technology,,2015,United States,$2.80m,Q3 2018,,$18.67m
23,Allset,Quick Dine-In On Demand. Available on iOS and Android. Live in San Francisco Bay Area & New York City. Coming to more cities soon.,mobile platforms,"allset, android, app, bar, bill...",2015,United States,$8.85m,Q4 2018,70%,$33.33m
24,Allume,Work with a professional stylist online,,fashion,2018,United States,$3.00m,Q4 2018,,$20.00m
25,Allure Security,Applying Science to Revolutionize Data Security,big data & ai,,2018,United States,$5.30m,Q1 2019,,$35.33m
26,Alpaca,Developing deep learning software to optimize workflows and to scale human expertise.,big data & ai,,2013,United States,$2.75m,Q2 2018,60%,$11.67m
27,Alpine Start Foods,"Quality Coffee, Instantly.",shopping,grocery store,2017,United States,$1.00m,Q4 2018,,$6.67m
28,Amino Payments,"Amino is a payments company based on a simple concept: Control the money, control the problems.
",business and industry,science technology and engineering,2018,United States,$4.50m,Q1 2019,,$30.00m
29,Amitree,Amitree's product helps home buyers navigate the process of buying and closing on a home. ,property management,"internet, internet/software",2012,United States,$19.83m,Q4 2018,58%,$47.52m
30,Andie,The better way to shop for swimwear.,,clothing (brand),2018,United States,$2.00m,Q1 2019,,$13.33m
31,Angee,"The first truly autonomous
home security system
for everyone.

Next Big thing on Kickstarter
",security monitoring,"best home security system, diy home security, home alarm, home camera, wireless home...",2014,"Czech Republic, United States",$2.05m,Q2 2019,62%,$18.20m
32,Angel Loop,The largest online community of startups and investors,financial services,"internet company, internet/software",2015,United States,$150k,Q3 2018,55%,$1.00m
33,Anser Innovation,N/A,information technology,"consumer electronics, shopping",2011,United States,$4.50m,Q3 2019,49%,$20.00m
34,Aortica,"Aortica Corp is developing a technology that modifies a standard endograft to match a patient’s unique anatomy, and allows patients who were previously excluded from EVAR to be able to enjoy the benefits of this less invasive and effective therapy.",engineering and technology,"3-d, aaa disease, anatomy, aortic, aortica...",2014,United States,$1.02m,Q3 2018,66%,$6.83m
35,Appcast,"Appcast is a job advertising exchange for employers to promote their open positions on a 'pay-per-applicant' basis. Pay for applicants, not clicks.",jobs and employment,"internet/software, jobs and employment",2014,United States,$8.00m,Q1 2019,83%,$20.00m
36,AppDetex,Mobile app brand protection solutions for global brands on all major mobile app platforms. appdetex.com,information technology,"anti counterfeiting, brand protection, brand protection software, brand security, computer software...",2011,United States,$5.50m,Q3 2018,41%,$36.67m
37,AppGyver,AppGyver provides innovative tools for quick app creation.,information technology,"computer software, mobile developers",2010,United States,$8.82m,Q4 2019,52%,$35.46m
38,AppOnboard,"AppOnboard is a next-gen platform that powers Full-Fidelity Demos, which allow users to instantly experience an app or game in the highest quality possible before downloading it. For more information, please visit www.apponboard.com.",gaming,information technology company,2016,United States,$4.00m,Q3 2018,54%,$26.67m
39,Apptegy,"Powering your school's identity. Our technology helps K12 leaders build a strong digital brand, without adding work to their team. With Thrillshare mobile, it's like having a marketing team in your pocket. ",marketing and advertising,"android app for districts, android app for school district, android app for schools, android apps for districts, android apps for school district...",2014,United States,$5.70m,Q3 2018,54%,$38.00m
40,Apptentive,"Our mobile engagement software helps companies listen to, engage with & retain customers to boost app ratings, drive downloads & earn customer loyalty.",business and industry,"business service, internet, internet/software, mobile developers",2011,United States,$11.91m,Q2 2018,61%,$11.33m
41,Appuri,"From easy integration to sophisticated data science, Appuri's retention platform makes it possible to analyze and act on all your user data. ",big data & ai,"computer and electronics, computer company, computers/technology, internet",2012,United States,$4.26m,Q3 2018,50%,$13.33m
42,Arbitrum,"We offer full protection of your product, combining automated and human moderation to deliver the best results at the most competitive price",video,,2010,United States,$500k,Q3 2018,26%,$3.33m
43,Art19,"The ART19 (www.art19.com) Facebook page welcomes its listeners.  And everyone else!  Have your say, comment on shows, discover new shows, make recommendations to others and catch up on the latest news.   ",news and media,media/news company,2011,United States,$7.50m,Q4 2018,31%,$50.00m
44,Arta Shipping,"ARTA’s technology platform and team of experts connect users to a curated network of specialized shippers for the most competitive quotes, streamlining the complexities of high-end logistics through process efficiency and transparency.",,"cargo and freight company, web design",2014,United States,$4.00m,Q4 2018,50%,$20.00m
45,Arvegenix,World leaders in pennycress development.  ,environmental technology,"animal feed, arvegenix, arvense thlaspi, aviation fuel, biodiesel...",2013,United States,$4.90m,Q3 2018,34%,$16.00m
46,Arzeda,N/A,engineering and technology,"local business, news and media",2008,United States,$3.20m,Q1 2019,29%,$21.33m
47,Ataata,"Security, Re-Imaged. 

Ataata lowers the likelihood of employee susceptibility to critical security risks with awareness campaigns.",business and industry,computer company,2016,United States,$3.00m,Q1 2019,,$20.00m
48,Authomate,"Authomate makes stronger security easier to use by shifting the burden of authentication from a human’s memory to their smartphone, creating a unique identity which becomes your personal key to the digital world.",information technology,"business and industry, computer and network security, computers/technology",2015,United States,$2.02m,Q3 2018,57%,$5.00m
49,Automox,"Automox is the only cloud-based endpoint management solution that offers true cross-platform support for Windows, Mac, and Linux",information technology,internet company,2015,United States,$2.00m,Q2 2019,,$13.33m
50,Axol Bioscience,The Best Human Cell Culture Systems for Research Success,,"axol bioscience ltd, biotechnology, biotechnology company, business and industry",2012,United States,$4.69m,Q4 2018,54%,$21.48m
51,BabelBark,"BabelBark is a mobile app and software platform that connects pet parents, pet vendors and veterinarians to help dogs live a happy and healthy life!",information technology,pet service,2018,United States,$2.80m,Q2 2019,,$18.67m
52,Baffle,Something baffling!,big data & ai,computer company,2016,United States,$9.00m,Q2 2019,,$40.00m
53,BallotReady,BallotReady is the nonpartisan voter guide for local elections. We make it easy to vote informed on every candidate on your ballot. ,people and society,cause,2015,United States,$1.66m,Q4 2018,54%,$5.20m
54,Bandura Systems,"An explosion of threat indicators has overwhelmed traditional network security enforcement.  More than 95% of threat intelligence goes unused leaving organizations exposed. Bandura delivers the threat intelligence automation and control needed for companies of all sizes to block known threats at massive scale, operationalize threat intelligence, and get more out of your existing security resources.",business and industry,"computers/technology, real estate",2012,United States,$3.50m,Q2 2019,43%,$23.33m
55,Banyan Water,Banyan Water uses real-time monitoring and control technology to offer water management solutions that save money and enhance commercial properties.,business and industry,"business and industry, renewables and environment",2011,United States,$3.49m,Q2 2018,39%,$3.60m
56,Banza,"High protein pasta made from chickpeas.
Let's change pasta forever, for the better.",shopping,"food and grocery retailers, food/beverages",2011,United States,$9.30m,Q4 2019,33%,$50.00m
57,Barkly,"Barkly is a last line of defense against malware that gets past antivirus. We block attacks at runtime, before they do harm, so you can stop worrying.",information technology,,2013,United States,$23.00m,Q2 2018,31%,$40.00m
58,Barnana,"We are Barnana. Creators of the tastiest, organic banana snacks ever.",shopping,"food and grocery retailers, food/beverages",2012,United States,$5.30m,Q2 2018,44%,$35.33m
59,Bart Bohn,"http://www.embrace.co.uk/
http://www.embrace.co.uk/contacts/
http://www.secret-festival.com
http://www.secretgig.com 
",business and industry,"ashes, embrace, embrace band, embrace music, gravity...",2012,United States,$2.50m,Q3 2018,26%,$16.67m
60,Base Pair Biotechnologies,"A spinoff of BioTex, Inc, Houston, TX",,"biotechnology, local business, nursery and playroom",2011,United States,$3.20m,Q1 2019,78%,$21.33m
61,Beach,We find the best beach locations on earth,shopping,"travel, website",2017,United States,$2.00m,Q2 2018,57%,$13.33m
62,Beauty By Design,"Home of the most accurate, personalized skincare box. Get a free online consult from an Esthetician so we can match you to the right skincare products.  Cleansers, Treatments, Moisturizers, Eye Creams, and more.  Free Shipping & Free Returns.  Stop guessing and finally get it right.",,,2018,United States,$2.20m,Q1 2019,,$14.67m
63,Bedly,Bedly is transforming the way people live by providing housing built for the millennial generation.,property management,internet company,2015,United States,$2.70m,Q2 2018,65%,$18.00m
64,Benjamin's Desk,"The Epicenter of Innovation in Philadelphia | Coworking Community of Mobile Professionals, Entrepreneurs & Startups",property management,"business services, real estate",2012,United States,$1.20m,Q4 2018,49%,$8.00m
65,BentoBox,BentoBox puts restaurants online.,,"internet, internet company, internet/software, online marketing",2013,United States,$6.00m,Q1 2019,51%,$32.00m
66,Better Mortgage,N/A,financial services,,2015,United States,$1.92m,Q3 2018,59%,$7.33m
67,BetterView,Better decisions using aerial data,business and industry,,2014,United States,$3.55m,Q1 2019,52%,$13.33m
68,Big In Japan,"Buy figures and character goods at low prices, directly from Japan !",software development,"anime, doll, figure, figures, figurine...",2008,United States,$1.40m,Q2 2018,35%,$4.67m
69,Bigleaf Networks,"Cloud-based internet redundancy and optimization service that improves reliability, performance, and support, for businesses that rely on the internet.",information technology,"internet and telecom, internet/software",2012,United States,$6.40m,Q1 2020,47%,$32.67m
70,Bigscreen,BigScreen is a virtual reality application for the Oculus Rift and HTC Vive. Use your Windows Desktop in a virtual world with your friends!,gaming,"bigscreen, bigscreen beta, bigscreenvr, collaboration, htc vive...",2014,United States,$3.00m,Q2 2018,32%,$20.00m
71,Big Squid,"Big Squid is a BI & Data Solutions company that specializes in all aspects of Business Intelligence, Data Sciences and Predictive Analytics.",big data & ai,,2009,United States,$12.00m,Q2 2018,32%,$40.00m
72,Bitfusion,Supercomputing for the Masses! Unleash the power of hardware acceleration - transparently and automatically.,,"file sharing, internet/software",2015,United States,$6.45m,Q4 2018,66%,$33.33m
73,Bivarus,Bivarus is a revolutionary platform for getting real-time patient feedback and facilitating meaningful change.,medicine,"health/medical/pharmaceuticals, marketing and advertising",2012,United States,$7.90m,Q2 2018,77%,$26.67m
74,Bizzabo,Bizzabo is the all-in-one event success platform. Helping event organizers to plan better events.,news and media,"internet, internet/software, social network",2011,United States,$13.00m,Q4 2018,59%,$43.33m
75,Blast,It’s time to level up!,,,2018,United States,$5.00m,Q1 2019,,$33.33m
76,Blazing DB,Blazing DB is an SQL database platform in the cloud that gives users supercomputer speeds by leveraging video graphics cards (GPUs).,information technology,"ad hoc querying, analytics and big data, analytics big data and the cloud, analytics database, analytics in the cloud...",2015,United States,$2.90m,Q1 2019,63%,$19.33m
77,BlockFi Lending LLC,Lending for cryptoasset owners,,,2018,United States,$1.55m,Q1 2019,,$10.33m
78,BlocPower,"BlocPower markets and finances a portfolio of renewable energy and energy efficiency products to churches, schools, small businesses, non-profits, and light commercial properties in underserved communities. ",oil and energy,"black male, blocpower, church, columbia business school, donnel...",2013,United States,$275k,Q2 2018,69%,$1.67m
79,BlueFox,"BlueFox harnesses mobile phones to power brick-and-mortar businesses.
",,"download, ebook, internet and telecom, pdf",2015,United States,$7.00m,Q3 2018,52%,$46.67m
80,Blueliv,Improve your Cyber Threat Visibility,information technology,"business and industry, computer and network security, computer company, computers/technology",2009,"Israel, Spain, United Kingdom, United States",$4.94m,Q2 2019,73%,$32.93m
81,"Blueprint Income, Inc.","Using Blueprint Income, it's finally easy to get a retirement paycheck. We've created the Personal Pension, a flexible and insurer-backed income stream.",science,"abaris, advisor, annuity, computers/technology, credit loans and mortgages...",2014,United States,$2.75m,Q1 2019,65%,$18.33m
82,Bluesmart,Smart luggage for your journey to be enjoyed with peace of mind and power in every way.,information technology,"android, bluesmart, consumer electronics, gps, iphone...",2013,United States,$3.04m,Q4 2018,81%,$12.54m
83,Boatsetter,"Search | Connect | Set Sail
Rent a boat, list your boat, or become a captain.
Become a #Boatsetter",property management,"boat rental, boat rentals, boating, boats for rent, consumer services...",2013,United States,$19.95m,Q4 2018,54%,$31.67m
84,Boll & Branch,"Thoughtfully designed, ethically made essentials that make your home a more beautiful place.",shopping,"home and garden, home decor, textiles",2014,United States,$11.50m,Q1 2019,60%,$30.00m
85,Bolstra,Bolstra is the leading Customer Success work management solution. We help customer success teams fully delight their customers. ,business and industry,software company,2014,United States,$3.00m,Q4 2018,52%,$10.00m
86,Bonfyre,This is the official page for the Bonfyre street team at SIUe. Spread the fyre!,business and industry,"marketing and advertising, media/news/publishing, universities and colleges",2011,United States,$5.70m,Q2 2018,52%,$26.67m
87,Boom Fantasy,"What will LeBron Do Next?
Boom Fantasy offers the most thrilling fantasy sports experience. Make simple predictions on key stats and win big money. Fantasy football & more!
Boom Fantasy is the next generation of daily fantasy sports: A real-money, in-game platform that pushes real-time questions to users during live games.",gaming,,2014,United States,$3.40m,Q2 2018,45%,$13.33m
88,Boostinsider,Boostinsider is an influencer marketing platform where influencers get paid to promote products they love.,business and industry,influencer marketing,2014,United States,$4.80m,Q3 2018,49%,$12.00m
89,Botkeeper,botkeeper is the future of bookkeeping!,,internet company,2018,United States,$4.50m,Q1 2019,,$30.00m
90,Botmetric,"Botmetric is a cloud operations platform that provides Cost Management, Comprehensive Audit and DevOps Automation solution for AWS Cloud. ",,"amazon aws cloud audit, amazon cloud cost management, aws cloud cost optimization, aws cloud insights, aws cloud management...",2014,United States,$3.00m,Q4 2018,55%,$20.00m
91,Boxx,BOXX The 1 Meter AWD Electric Vehicle,financial services,"boxx, business and industry, electric, motorcycles, portland...",2009,United States,$500k,Q3 2018,48%,$3.33m
92,Bquate,"Bquate is a full-stack premium music platform for established artists, songwriters, managers, labels and publishers.",music,"distribuye tu música, entertainment, music and audio, record label, vende tu música...",2014,United States,$1.40m,Q2 2018,36%,$5.10m
93,Brayola,The world's smartest personal bra shopper.,ecommerce,"big bras, bra, bra discovering, bra fitting, bra problems...",2013,United States,$7.50m,Q4 2018,65%,$16.67m
94,Brella,We're solving one the biggest problems in the event industry = inefficient networking.,,software company,2015,United States,$1.42m,Q3 2018,,$9.44m
95,BridgeSat,Designs and develops an optical connectivity system to improve the wireless transfer of data from low earth orbit satellites.,,"data, satellite, system, transfer, wireless...",2015,United States,$6.00m,Q3 2018,45%,$40.00m
96,Buildup,"Buildup is a mobile collaboration platform for the construction industry. 
We help construction teams to build faster, better projects and reduce costs",business and industry,workplace and office,2017,United States,$7.00m,Q1 2019,,$46.67m
97,Bunker,Bunker is changing the way you buy and manage small business insurance. ,information technology,insurance company,2015,United States,$8.00m,Q2 2018,61%,$40.00m
98,Buster,"Book instantly buses, limos and vans",,"business and industry, computers/technology, event planner",2012,United States,$4.05m,Q2 2018,58%,$7.33m
99,Cabin,"A private place to plan, share and stay connected with family.",mobile platforms,"android, cabin, cabin app, cabinapp, chat...",2017,United States,$3.30m,Q3 2018,,$22.00m
100,College Video Advice,College and Careers for You,education,"education website, universities and colleges",2011,United States,$7.00m,Q1 2019,27%,$46.67m
101,Comedy,https://www.comedy.com/getapp,news and media,"humor, media/news/publishing",2015,United States,$2.50m,Q2 2018,62%,$16.67m
102,Comeet,Comeet is an award winning collaborative hiring platform for high-growth companies,information technology,"applicant tracking system, arts and entertainment, ats, business service, collaborative...",2013,United States,$1.22m,Q2 2018,61%,$8.00m
103,Common Networks,Common Networks believes that you should have a choice for fast & affordable internet. We are currently installing homes in Alameda – offering speeds of at least 50 MBPS (up & down) for a flat fee of $50 / month.,,internet service,2016,United States,$9.30m,Q3 2018,53%,$46.67m
104,Comparably,Transparent & Rewarding Work.  See how much people like you get paid.  Rate your company anonymously.  And get connected to the best companies for job opportunities. ,big data & ai,"computers/technology, information technology company",2015,United States,$7.25m,Q2 2018,69%,$48.33m
105,Converge,N/A,aviation,,2018,United States,$750k,Q1 2019,,$5.00m
106,Converseon,"Converseon is an award-winning, full service social media consultancy and technology firm that helps brands leverage social to meet business objectives.",business and industry,"information technology company, internet and telecom",2008,United States,$5.00m,Q4 2018,37%,$33.33m
107,Cordial,Cordial is the next generation marketing data and messaging platform delivering 1:1 real time experiences to your customers across all connected devices. ,information technology,"internet company, internet/software",2014,United States,$6.00m,Q2 2018,72%,$40.00m
108,Corvus Insurance,"Corvus is reinventing commercial insurance by using data and digital tools to create a safer, more productive world.",,insurance company,2016,United States,$4.00m,Q1 2019,,$26.67m
109,CoSchedule,CoSchedule is your all-in-one marketing calendar for everything.,marketing and advertising,"content marketing editorial calendar, internet and telecom, marketing and advertising, software",2013,United States,$2.50m,Q3 2019,54%,$13.33m
110,Cosmitto,We help our clients connect with their community and prospective customers through social media management and online marketing efforts.,marketing and advertising,"public relations, social network",2010,United States,$2.00m,Q2 2018,32%,$13.33m
111,CounterFlow AI,N/A,,,2018,United States,$2.70m,Q1 2019,,$18.00m
112,Court Innovations,"Our Matterhorn platform allows courts to handle many high-volume infractions completely online, saving citizens and courts time and money.",military and defense,"business and industry, legal company, legal/law",2013,United States,$1.80m,Q3 2018,44%,$12.00m
113,Critical Informatics,Industry leading Cybersecurity-As-A-Service (CAAS) through the combination of Machine Learning and Expert Human Analysts.,information technology,"assurance, business, cissp, consultant, consulting...",2011,United States,$6.35m,Q1 2019,,$13.33m
114,CrowdJustice,"The law should be available to everyone, big and small.

CrowdJustice gives you the tools to raise funds, mobilise your community and publicise your issue.",financial services,,2017,United States,$2.00m,Q2 2018,39%,$13.33m
115,CryptoMove,Stop leaving your data at rest.  CryptoMove it!,big data & ai,"active defense, cryptomove, internet/software, moving target defense",2015,United States,$6.00m,Q2 2019,42%,$40.00m
116,Cuebiq,Cuebiq is a location intelligence  and measurement company that allows clients to glean actionable insights about real-world consumer behaviors and trends.,big data & ai,,2015,United States,$3.50m,Q2 2018,72%,$23.33m
117,CultureIQ,"CultureIQ helps organizations strengthen their culture by enabling them to make positive, measurable changes.",business and industry,"computer software, internet company, internet/software, software",2013,United States,$5.25m,Q3 2019,69%,$15.00m
118,Curisium,Curisium is a healthcare technology and services company that provides scalable innovative contracting solutions with our blockchain-based platform.,financial services,"blockchain, healthcare, healthcare contracting, medical and health, outcomes-based contracting...",2017,United States,$3.50m,Q4 2018,,$23.33m
119,CustomerSuccessBox,CustomerSuccessBox is an Actionable customer success platform for B2B SaaS.,information technology,software,2016,United States,$1.00m,Q1 2019,,$6.67m
120,Cybrary,"Cybrary provides completely free hacking, forensics and cyber security training courses online. Get FREE training, forever and find jobs. Register today!",information technology,"arts and entertainment, education",2015,United States,$4.00m,Q2 2019,61%,$23.33m
121,Cypheme,"Cypheme technology allows anyone, anywhere, to verify the authenticity of the products adopting the solution.",big data & ai,computer and network security,2015,United States,$1.31m,Q2 2018,65%,$9.82m
122,Dandelion,"Dandelion Energy offers affordable geothermal heating & cooling installations. We offer lower costs + a better experience. Call 845-706-3087 to learn more. Today, Dandelion is operating in upstate New York. We chose this initial market because there are so many homeowners in this region suffering from high heating bills from oil and propane. As our operational capacity grows, we will expand throughout the Northeast and then beyond.",oil and energy,,2018,United States,$4.50m,Q1 2019,,$30.00m
123,DataCamp,Become a data scientist! www.DataCamp.com is an online interactive training and education platform for R & Python in data science.,education,"e-learning, education, how to learn r, information technology company, learn data science...",2013,United States,$6.14m,Q3 2018,68%,$26.67m
124,Datazoom,"Datazoom makes video data accessible, configurable, and responsive through our enhanced automation platform",music,,2018,United States,$700k,Q2 2019,,$4.67m
125,DealCloud,"Enterprise Software, Alternative Investment Industry Automation",financial services,"business and industry, capital crm, computer software, computers/technology, deal flow...",2010,United States,$9.80m,Q4 2018,56%,$30.00m
126,Definedcrowd,"DefinedCrowd is a Smart Data platform that enables data scientists to collect, refine, and structure training data for AI and ML applications.",big data & ai,"artificial intelligence, computer vision training data, data for ai, definedcrowd, high quality data...",2015,United States,$2.20m,Q1 2019,62%,$7.33m
127,Diamond,"Diamond is a digital agency that defines and delivers technology innovation from idea to product, seamlessly fueling the ever-evolving consumer experience.",software development,"computers/technology, marketing and advertising",2012,United States,$2.00m,Q2 2018,47%,$13.33m
128,Diamond Orthopedic,Diamond Orthopedic provides market leading fixation solutions that achieve better patient outcomes at a lower total cost.,,medical and health,2017,United States,$3.50m,Q4 2018,,$23.33m
129,Diligent Robotics,N/A,electronics,,2018,United States,$2.10m,Q1 2019,,$14.00m
130,Dine,"Get your own corner of the Web for less! Register a new .COM for just £7.14 for the first year and get everything you need to make your mark online — website builder, hosting, email, and more.",tours/sightseeing,,2013,United States,$2.60m,Q1 2019,30%,$16.67m
131,Discuss,"Marketing Intelligence made Faster, Cheaper, and Deeper.",marketing and advertising,"business and industry, internet/software, market research",2012,United States,$6.42m,Q3 2018,38%,$33.50m
132,DiversyFund,"DiversyFund makes Online Real Estate Crowdfunding easy and convenient for investors. Our platform connects accredited investors to pre-vetted investment opportunities. Minimum investments as low as $5,000 + 12-18% ROI. ",financial services,real estate,2014,United States,$1.00m,Q1 2019,,$6.67m
133,DivvyCloud,"Integrate and optimize your multi-cloud management with DivvyCloud's unified on-premise software. Work with your cloud, not for it.",information technology,computers/technology,2013,United States,$6.00m,Q4 2018,55%,$40.00m
134,Divvy Homes,Divvy is the best way to pool buying power for real estate purchase with friends. You might be surprised at what you can afford.,property management,internet company,2018,United States,$7.00m,Q1 2019,,$46.67m
135,Doctor,"Doctor.com has helped millions of people find, review, and book with doctors and dentists. We also empower those providers to control their online presence",medicine,"health, health/medical/pharmaceuticals",2012,United States,$5.00m,Q2 2018,54%,$33.33m
136,Domuso,Flexible Rent Payments ,financial services,"business and industry, real estate",2014,United States,$3.10m,Q4 2018,59%,$20.67m
137,Door,"Door is a full service, next-generation real estate brokerage firm. Door charges a flat rate of $5,000 per side no matter how much your home sells for.",property management,real estate,2018,United States,$2.30m,Q2 2019,,$15.33m
138,Dote Shopping,"Shop your favorite stores all in one app:
http://bit.ly/Fdoteshopping",shopping,"brandy melville, mobile, shopping, women founders",2017,United States,$7.20m,Q4 2018,63%,$48.00m
139,Dover Microsystems,"Dover is the first company to bring real security to silicon. Dover’s patented CoreGuard solution delivers protection against cyberattacks, and integrates with market-leading RISC processors to eliminate software vulnerability risk from endpoint devices",information technology,science technology and engineering,2018,United States,$6.00m,Q1 2019,,$40.00m
140,DRINKmaple,Makers of deliciously simple plant-based hydration. ,sports,"food and beverage company, food/beverages, nutrition",2014,United States,$3.90m,Q2 2018,41%,$26.00m
141,Drivemode,"On a mission to create an easier, safer way to use your phone while you drive. Drivemode allows you to use the apps you love, designed with driving in mind",mobile platforms,"automotive, movies",2014,United States,$8.50m,Q1 2019,47%,$43.33m
142,DroneSense,DroneSense has built a drone software platform tailored for the unique needs of the public safety market. Our comprehensive solution equips first responders with a complete tool set that expands situational awareness and acts as a force multiplier.,military and defense,computer company,2018,United States,$4.90m,Q2 2019,,$32.67m
143,Dropsource (Queue Software Inc.),"Queue Software: changing how the world envisions & creates mobile software and applications: code-free, incredibly fast & broadly accessible! ",mobile platforms,"internet/software, mobile developers, software",2013,United States,$10.85m,Q4 2018,42%,$35.33m
144,Dstld,"Premium Denim + Luxe Essentials
No Retail Markup 

Follow us
Instagram + Twitter + Pinterest
@dstld #dstld
",,"clothing, clothing (brand), commonly misspelled as distild, denim la, distiled...",2013,United States,$3.10m,Q1 2019,44%,$37.20m
145,Dwelo,First Filipino Online Debating Tool,information technology,"apartment automation, apartment technology, automated apartment, automated property management system, domain names and register...",2014,United States,$4.90m,Q4 2018,61%,$32.67m
146,Dynamis Software,Differentiate your agency. Drive new revenue.,,business and industry,2012,United States,$1.30m,Q2 2018,45%,$9.75m
147,EaseCentral,"Online Benefits, HR and Payroll",information technology,"internet company, internet/software, news and media",2015,United States,$6.50m,Q3 2018,71%,$43.33m
148,eBooks in Motion,Multimedia-rich mobile learning,information technology,"consumer services, publications",2012,United States,$700k,Q3 2018,37%,$2.33m
149,Edj Analytics,"Based in Louisville, KY, Edj analyzes pools of data to help organizations make informed decisions based on the highest probability of achieving their goals.",information technology,local business,2013,United States,$4.80m,Q4 2019,32%,$16.00m
150,EdTech Platform Innovator MassiveU,MassiveU transforms traditional curricula into digital 21st Century Learning experiences for future-ready K12 students and teachers. ,education,"e-learning, education, school",2012,United States,$2.30m,Q4 2019,39%,$10.67m
151,Eko,"Eko exists to advance the digital healthcare experience by developing connected technologies that make medical data actionable, personal, and mobile.",information technology,"amplified stethoscope, auscultation, bruits, business and industry, digital stethoscope...",2013,United States,$7.00m,Q2 2020,84%,$33.33m
